date,uk_gdp,us_gdp,eurozone_gdp,uk_gdp_growth,us_gdp_growth,eurozone_gdp_growth,bdi_mean,bdi_end,bdi_max,bdi_min,bdi_volatility,bdi_mean_growth,bdi_end_growth
2014-01-01,596696.0,17953.974,2438543.5,0.8010757592650686,-0.34509598528477126,0.4753509745152318,1370.7460317460318,1362.0,2113.0,1084.0,247.26027610035706,-26.05370906601937,-40.18445322793149
2014-04-01,602310.0,18185.911,2444250.3,0.9408476007883415,1.2918421292132942,0.23402494152759967,982.1935483870968,850.0,1316.0,824.0,96.99093057308013,-28.34605932537363,-37.59177679882526
2014-07-01,607213.0,18406.941,2456241.8,0.8140326409988186,1.2153914093167906,0.4906003284524507,949.8461538461538,1063.0,1197.0,723.0,167.3799225162279,-3.2933829176603813,25.058823529411754
2014-10-01,611220.0,18500.031,2465312.8,0.6599002327025261,0.5057331362120498,0.36930403187502847,1120.295081967213,782.0,1484.0,782.0,214.565013011775,17.944898490231374,-26.434619002822203
2015-01-01,613076.0,18666.621,2483950.5,0.3036549851117343,0.9004849775657187,0.7559973728283209,617.4426229508197,602.0,771.0,509.0,85.53118818890242,-44.88571512189411,-23.01790281329923
2015-04-01,615875.0,18782.243,2494445.5,0.4565502482563266,0.6194050867588619,0.42251244539694977,631.9508196721312,800.0,829.0,573.0,76.2300085770051,2.349723874256582,32.89036544850499
2015-07-01,618263.0,18857.418,2505031.9,0.3877410188755759,0.4002450612528241,0.42439892954164726,973.7692307692307,900.0,1222.0,794.0,122.83967819260002,54.08940070280182,12.5
2015-10-01,621968.0,18892.206,2517548.3,0.5992595384165078,0.18447912646364362,0.4996503238142269,639.639344262295,478.0,889.0,471.0,129.75014872013122,-34.31304624844114,-46.88888888888889
2016-01-01,625099.0,19001.69,2529296.8,0.5034021042883197,0.5795194060450148,0.4666643337090992,358.4032258064516,429.0,473.0,290.0,49.09958421159444,-43.96792051311306,-10.251046025104603
2016-04-01,629697.0,19062.709,2534262.7,0.7355634867437066,0.3211240684381167,0.1963352027330334,611.5555555555555,660.0,715.0,450.0,53.74365012087857,70.63338483616599,53.846153846153854
2016-07-01,632477.0,19197.938,2546525.2,0.44148217317216965,0.7093902550786346,0.48386854290993764,736.4769230769231,875.0,941.0,631.0,83.79814058429108,20.426822450805005,32.57575757575757
2016-10-01,636392.0,19304.352,2565927.9,0.6189948409191182,0.5542991127484687,0.7619284505804069,994.3333333333334,961.0,1257.0,798.0,146.02340962390957,35.01215071059028,9.828571428571431
2017-01-01,642463.0,19398.343,2586571.1,0.9539717658298752,0.48689021004175714,0.804512083133746,945.171875,1297.0,1338.0,685.0,184.7248107438875,-4.944162755615156,34.96357960457856
2017-04-01,647944.0,19506.949,2603763.8,0.8531230592267569,0.5598725623111145,0.6646907946972647,1005.8032786885246,901.0,1296.0,818.0,155.66479153104692,6.414854831405625,-30.5319969159599
2017-07-01,652329.0,19660.766,2622795.0,0.6767560159519848,0.7885241305547019,0.7309111525400258,1137.1875,1356.0,1503.0,820.0,204.5816385343435,13.062616129347715,50.49944506104329
2017-10-01,657225.0,19882.352,2644200.1,0.7505415212262445,1.1270466267692791,0.8161179200051993,1508.95,1366.0,1743.0,1308.0,109.5977893195333,32.691398735916465,0.7374631268436627
2018-01-01,657741.0,20044.077,2645329.6,0.07851192513979033,0.8134098018182323,0.04271613180863998,1175.4761904761904,1055.0,1395.0,1055.0,78.91642315334602,-22.09972560547464,-22.76720351390923
2018-04-01,659172.0,20150.476,2658731.0,0.21756284008447313,0.5308251410129694,0.5066060577101572,1259.9516129032259,1385.0,1476.0,948.0,165.82139586080183,7.186485197357695,31.27962085308056
2018-07-01,661262.0,20276.154,2660767.9,0.31706443841668097,0.6236974253114314,0.07661173695270307,1607.359375,1540.0,1774.0,1356.0,130.7106785921328,27.573103485796935,11.191335740072205
2018-10-01,662120.0,20304.874,2675156.4,0.12975189864228298,0.1416442191157108,0.5407649423311289,1362.5245901639344,1271.0,1584.0,1003.0,184.93247475383873,-15.232112285783362,-17.467532467532465
2019-01-01,665456.0,20431.641,2694283.9,0.5038361626291232,0.6243180824466066,0.7150049245718826,797.7301587301587,689.0,1282.0,595.0,224.94968658599132,-41.45205418757407,-45.790715971675844
2019-04-01,666875.0,20602.275,2704009.2,0.21323723882571421,0.8351458407085399,0.3609604763625818,995.1147540983607,1354.0,1354.0,672.0,183.60383968031596,24.743278564571547,96.51669085631349
2019-07-01,670547.0,20843.322,2709134.2,0.5506279287722515,1.170001856591063,0.18953337880656118,2030.3384615384616,1823.0,2518.0,1381.0,265.7140895847379,104.03058573662508,34.6381093057607
2019-10-01,670587.0,20985.448,2706428.2,0.005965279093045339,0.6818778695641736,-0.09988430990239827,1561.8360655737704,1090.0,1929.0,1090.0,244.42314268005742,-23.075088456418737,-40.208447613823374
2020-01-01,652180.0,20709.212,2618244.0,-2.7449085651824467,-1.3163216720462723,-3.258324015394176,909.0,844.0,976.0,844.0,66.02272336097626,-41.79926946007221,-22.56880733944954
